app,review,stars,at,userName,thumbsUpCount,replyContent,review_clean,char_len,word_len,vader_compound,vader_label,tb_polarity,stars_label
Swiggy,Nice,5,2025-10-05 20:23:32,Gulya laskar,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,awesome 👍,5,2025-10-05 20:17:00,Yogi Bhojaiya,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",awesome thumb,9,2,0.6249,positive,1.0,positive
Swiggy,good,5,2025-10-05 20:13:41,Masoom Alam,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,good service 👍,4,2025-10-05 20:12:41,Shadab Ahamad,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good service thumb,14,3,0.4404,positive,0.7,positive
Swiggy,nice,5,2025-10-05 20:05:56,Urvashi jangle,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,good,5,2025-10-05 20:05:15,Rupa Rana,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,fraud app. never order from them,1,2025-10-05 20:04:20,Mayank Saxena,0,"Hi there, we're sorry for the unpleasant experience. Please share your concerns via email at swiggysocial@swiggy.in & we'll surely work towards improving the services.",fraud app never order,32,4,-0.5859,negative,0.0,negative
Swiggy,"i don't get how many charges there are, we pay bloated restaurant prices, platform fee, and now packaging fee. so the brand advertises itself on the packaging at my expense. Wonderful.",1,2025-10-05 19:55:53,ARPAN DIXIT,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",get many charge pay bloated restaurant price platform fee package fee brand advertise packaging expense wonderful,184,16,0.296,positive,0.75,negative
Swiggy,good,5,2025-10-05 19:49:38,Chikka,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,nice app,5,2025-10-05 19:48:02,Vikash Goswami,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice app,8,2,0.4215,positive,0.6,positive
Swiggy,"This application is very bad, first they take the order, then they make it wait and then cancel the model, these people are fooling all the customers, I am suggesting you all not to use this app.",1,2025-10-05 19:44:45,A BCD,0,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we would be happy to connect with you and resolve the matter.",application bad first take order make wait cancel model people fool customer suggest use app,195,15,-0.8173,negative,-0.3299999999999999,negative
Swiggy,"par order 20 ,30,40,50 😏😏😏",1,2025-10-05 19:36:15,Anup Maid,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",par order smirk face smirk face smirk face,26,8,0.0,neutral,0.0,negative
Swiggy,👍,5,2025-10-05 19:34:15,Geetha Lakshmi,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",thumb,1,1,0.0,neutral,0.0,positive
Swiggy,great delivery partner i wish ur work same as it is forever💯♥️,5,2025-10-05 19:33:03,AdityaAwasthi Rbl,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",great delivery partner wish work forever hundred point heart suit,62,10,0.9001,positive,0.4,positive
Swiggy,These days swiggy service has gone down way below standard.,1,2025-10-05 19:32:27,Anurag Saxena,0,"We sincerely apologize for the inconvenience you are experiencing. Please provide us with the order ID by sending an email to swiggysocial@swiggy.in, so that we may assist you in resolving this matter promptly.
",day swiggy service way standard,59,5,0.0,neutral,-0.07777777777777778,negative
Swiggy,nice,5,2025-10-05 19:31:03,Kushwaha Gurdyalsingh,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,Fukrey murder,1,2025-10-05 19:28:38,Tech help Jay mandavi 750 Mandavi,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",fukrey murder,13,2,-0.6908,negative,0.0,negative
Swiggy,Swiggy help support system is not at all good without payment also the order gets placed and in the very next second you can't even cancel the order. Please improve that,3,2025-10-05 19:22:28,Uzma Sadaf,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",swiggy help support system good without payment also order get place next second even cancel order please improve,169,18,0.8374,positive,0.2333333333333333,neutral
Swiggy,too slow service it's about more than 1 hour that I placed my order,1,2025-10-05 19:10:43,Nasir Ahmad,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",slow service hour place order,67,5,0.0,neutral,0.09999999999999998,negative
Swiggy,better than zomato,4,2025-10-05 19:04:13,Ashish Kumar,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",well zomato,18,2,0.4404,positive,0.5,positive
Swiggy,awesome,5,2025-10-05 19:04:00,Møzëz Carter,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",awesome,7,1,0.6249,positive,1.0,positive
Swiggy,worst app ever dilivery partner's always hungry to eat our food,1,2025-10-05 19:03:22,Nikhil Kushwaha,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",bad app ever dilivery partner always hungry eat food,63,9,-0.6249,negative,-1.0,negative
Swiggy,so nice,5,2025-10-05 18:59:32,Pulak Bordoloi,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,7,1,0.4754,positive,0.6,positive
Swiggy,better,5,2025-10-05 18:59:02,Akshit Saini,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",well,6,1,0.4404,positive,0.5,positive
Swiggy,good service,5,2025-10-05 18:58:36,Blgblack Boy,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good service,12,2,0.4404,positive,0.7,positive
Swiggy,super 👌,5,2025-10-05 18:51:09,Geesala Surya Prabhakar,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",super hand,7,2,0.876,positive,0.3333333333333333,positive
Swiggy,I order some items form swiggy and then I cancelled my order but it's not give my refund payment and say me refund is not receive you I then it's charged my amount and deduct totally amount on my cancelled order.,1,2025-10-05 18:48:56,Sumer Shah,0,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",order item form swiggy cancel order give refund payment say refund receive charge amount deduct totally amount cancel order,212,19,-0.6369,negative,0.0,negative
Swiggy,"despite paying extra, my order is still being delayed",1,2025-10-05 18:47:41,Alok Parihar,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",despite pay extra order still delay,53,6,-0.2263,negative,0.0,negative
Swiggy,good,5,2025-10-05 18:47:32,Mujahid,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,very bad customer service. there is no professionalism when it comes to resolving issues. I had raised issue with my order but no action or acknowledgment was given.,1,2025-10-05 18:47:12,Mahitha M,0,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",bad customer service professionalism come resolve issue raise issue order action acknowledgment give,165,13,-0.6119,negative,-0.4799999999999999,negative
Swiggy,good,5,2025-10-05 18:46:56,Somnath Das,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,good super working,5,2025-10-05 18:45:34,Chantrian Chantrian,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good super work,18,3,0.7783,positive,0.5166666666666666,positive
Swiggy,"Latest Update Shriharsa sir apse ek request hai agar aap Swiggy me service achcha de sakte hai to aap isko run kijiye nahi to aap isko band kar dijiye Mera suggestion hai kyunki apke itna ghatiya customer care hai hold karke 8 minutes ke baad call cut kar dena then second times firse wahi repeat karte hai, Bhai apse better hai other bhi hai like zomato and eatsure far better hai, mai apka app uninstall kar diya hun mai life me kabhi use nahi karunga bahot jyada ghatiya app.",1,2025-10-05 18:45:02,Aakash Yadav,0,"Hi there, we are sorry for any hassle you have faced while ordering with us. Please share the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email address and we will get this checked.",late update shriharsa sir apse request hai agar aap swiggy service achcha sakte hai aap isko run kijiye nahi aap isko band kar dijiye mera suggestion hai kyunki apke itna ghatiya customer care hai hold karke minute baad call cut kar dena second time firse wahi repeat karte hai bhai apse well hai bhi hai like zomato eatsure far well hai mai apka app uninstall kar diya hun mai life kabhi use nahi karunga bahot jyada ghatiya app,478,78,0.8555,positive,0.24583333333333335,negative
Swiggy,good 😊,5,2025-10-05 18:42:13,Anmol Walia,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good smile face smile eye,6,5,0.836,positive,0.7,positive
Swiggy,worst,1,2025-10-05 18:40:53,Ranno Yadav,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",worst,5,1,-0.6249,negative,-1.0,negative
Swiggy,very nice 👍,5,2025-10-05 18:37:25,Mamta Mamta,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice thumb,11,2,0.4754,positive,0.78,positive
Swiggy,Good,5,2025-10-05 18:37:09,Parthi.G,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,love 💓,4,2025-10-05 18:37:03,Gagan Yadav,0,,love beat heart,6,3,0.7506,positive,0.5,positive
Swiggy,nice Wark,5,2025-10-05 18:28:18,Vishal Rajput,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice wark,9,2,0.4215,positive,0.6,positive
Swiggy,best,5,2025-10-05 18:28:05,anjan,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",well,4,1,0.6369,positive,1.0,positive
Swiggy,good 👍,5,2025-10-05 18:27:54,Beauty Gayen,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good thumb,6,2,0.4404,positive,0.7,positive
Swiggy,reastaurant ka phone switch off btata hai aur ye log bolte hai ki aap order cancel nhi kr skte aur recording bhi bhejna chahte h but ye allow nhi kr skte,1,2025-10-05 18:27:45,Sushant kumar,0,"Hey there, please drop an email at swiggysocial@swiggy.in with your order ID, it will help us get this checked and get back to you with an apt resolution.",reastaurant phone switch btata hai aur log bolte hai aap order cancel nhi skte aur recording bhi bhejna chahte allow nhi skte,153,22,0.2144,positive,0.0,negative
Swiggy,I would have given no stars.... you have fallen to the depths of hell,1,2025-10-05 18:17:35,Cariappa p.v,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",would give star fall depth hell,69,6,-0.8519,negative,0.0,negative
Swiggy,laik,5,2025-10-05 18:15:50,Md shahnawaz,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",laik,4,1,0.0,neutral,0.0,positive
Swiggy,nice,5,2025-10-05 18:14:32,Raghavender Champal,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,good,3,2025-10-05 18:12:54,Imtiyaj Shaikh,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,neutral
Swiggy,open menu problem issue,1,2025-10-05 18:10:32,Jeevan Jeeva,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",open menu problem issue,23,4,-0.4019,negative,0.0,negative
Swiggy,nice,4,2025-10-05 18:08:46,Dilkash alfaaz,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,to much bad aap,1,2025-10-05 18:03:38,Pintu Nai,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",much bad aap,15,3,-0.5423,negative,-0.6999999999999998,negative
Swiggy,"worst experience with Swiggy waited for almost 1hr for the parcel and finally received parcel with no main course in it..they asked us to wait for more one hr for missed pack..do they expect my kids to starve for them..as we finally made our food by our selves and asked them to cancel it but they forcefully delivered it..now what they want me to do with that parcel..waste of money, waste of time,waste of food..they finally not given valid solution..",1,2025-10-05 18:03:03,siri kurma,0,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",bad experience swiggy wait almost parcel finally receive parcel main course ask wait one miss pack expect kid starve finally make food self ask cancel forcefully deliver want parcel waste money waste time waste food finally give valid solution,453,39,-0.8977,negative,-0.11190476190476188,negative
Swiggy,worst swiggy some times they were unable to answer,1,2025-10-05 18:00:01,ravi teja,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",worst swiggy time unable answer,50,5,-0.6249,negative,-0.75,negative
Swiggy,👌,5,2025-10-05 17:58:25,Vikas Arji,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",hand,1,1,0.7297,positive,0.0,positive
Swiggy,goog,5,2025-10-05 17:55:04,Sp City,0,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",goog,4,1,0.0,neutral,0.0,positive
Swiggy,good,4,2025-10-05 17:54:28,Afrin Hussain,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,shanu,5,2025-10-05 17:54:16,Sujeet Kumar,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",shanu,5,1,0.0,neutral,0.0,positive
Swiggy,good,1,2025-10-05 17:53:19,Patel Yash,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",good,4,1,0.4404,positive,0.7,negative
Swiggy,good,5,2025-10-05 17:51:44,Nidhin Raj,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,"These people keep on missing items from order or the delivery partner scams you by not delivering at all...poor customer service, they take customers so granted, pathetic. Never trusting swiggy again.",1,2025-10-05 17:51:34,Roy,0,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",people keep miss item order delivery partner scam deliver poor customer service take customer grant pathetic never trust swiggy,200,19,-0.8631,negative,-0.6,negative
Swiggy,"100 rupees mai do bature milte h magr ek mili or sweet Lassi v sara polythene k Ander tut gyi kuch khane ko ni mili bohot hi kharab service h ..2,3km ki oder v esi ni hoti humari tho 70m ki h dhaba",1,2025-10-05 17:51:15,PRIYA MONI,0,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",rupee mai bature milte magr mili sweet lassi sara polythene ander tut gyi kuch khane mili bohot kharab service oder esi hoti humari tho dhaba,197,25,0.4588,positive,0.35,negative
Swiggy,bad sarvic nihu food delivery madodike nalayaka,1,2025-10-05 17:49:05,umesh S,0,"Hey there, please drop an email at swiggysocial@swiggy.in with your order ID, it will help us get this checked and get back to you with an apt resolution.",bad sarvic nihu food delivery madodike nalayaka,47,7,-0.5423,negative,-0.6999999999999998,negative
Swiggy,"if we want to cancel the order we have to pay the amount and if the order is getting cancelled by Swiggy after 1hour,2hours sometimes 3hours they do not value the time what you wasted because of them they just say sorry we apology about this order",1,2025-10-05 17:48:51,Raju Singh,0,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",want cancel order pay amount order get cancel swiggy hour hour sometimes hour value time waste say sorry apology order,247,20,-0.8144,negative,-0.35,negative
Swiggy,good,5,2025-10-05 17:46:28,ರೇವಣಸಿದ್ದ ರಾಮ,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,very good app 😃👍🏻,5,2025-10-05 17:39:39,kavita's tasty kitchen,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good app grinning face big eye thumb light skin tone,17,10,0.7146,positive,0.9099999999999999,positive
Swiggy,nice,5,2025-10-05 17:39:01,Abhishek Kharatmol,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice,4,1,0.4215,positive,0.6,positive
Swiggy,good 😊,1,2025-10-05 17:38:41,Gulshan Yadav,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",good smile face smile eye,6,5,0.836,positive,0.7,negative
Swiggy,very good delivery and fast delivery,5,2025-10-05 17:38:01,Hassan Raza,0,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good delivery fast delivery,36,4,0.4927,positive,0.5549999999999999,positive
Swiggy,"poor food delivery system. You place an order and forget about the delivery.. I placed an order at 10.07 and the app was showing the order will be delivered within 25 mins, The app kept showing we are assigning delivery to the partner and the order will be delivered in the next 12 mins. Now almost 1 hr. post order placement still app status same we assigning your order on high priority and will be delivered in next 12 mins. what kind of rubbish you are doing cheating customers.",1,2025-10-05 17:37:37,A Google user,0,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",poor food delivery system place order forget delivery place order app show order deliver within min app keep show assign delivery partner order deliver next min almost post order placement still app status assign order high priority deliver next min kind rubbish cheat customer,482,44,-0.8225,negative,0.06,negative
Swiggy,"don't use ds app services, fraud app don't use no customer care number only chat option because While eating, I found a lot of fungus on the cashew nuts, so I threw the whole cashew nut in the garbage bin, pretending to have eaten some of it. Even then, you are not responding in chat",1,2025-10-05 17:34:39,Suresh Netha,0,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",use app service fraud app use customer care number chat option eat find lot fungus cashew nut throw whole cashew nut garbage bin pretend eat even respond chat,284,28,-0.7303,negative,0.1,negative
Swiggy,very nice 👍👍👍👍👍👍👍👍👍,5,2025-10-05 17:34:19,SUMESH SUMESHR,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",nice thumb thumb thumb thumb thumb thumb thumb thumb thumb,19,10,0.4754,positive,0.78,positive
Swiggy,good and fast working app,5,2025-10-05 17:32:58,Krishna Kumar,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good fast work app,25,4,0.4404,positive,0.44999999999999996,positive
Swiggy,"I loved the app at times but the recent few incidents were very disappointing and made me uninstall this app from my phone. recently I had ordered food for dinner, the restaurant was just 1.5 km away, the delivery didn't happen even after 2 hours. Although they refunded the amount still the service was very poor and frustrating. It's a great app with a great UI, so I am giving it 3 stars.",3,2025-10-05 17:32:45,Palash Baruah,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",love app time recent incident disappointing make uninstall app phone recently order food dinner restaurant away delivery happen even hour although refund amount still service poor frustrating great app great give star,391,32,0.5677,positive,0.04444444444444443,neutral
Swiggy,good,5,2025-10-05 17:31:00,Kavali. Naveen.91 Naveen. 91,0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
Swiggy,not return product,1,2025-10-05 17:30:53,Mansi Vaghasiya,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",return product,18,2,0.0,neutral,0.0,negative
Swiggy,vary nice,5,2025-10-05 17:29:08,Payal Rawat,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",vary nice,9,2,0.4215,positive,0.6,positive
Swiggy,very good experience,5,2025-10-05 17:28:11,Rudra Chatterjee,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good experience,20,2,0.4927,positive,0.9099999999999999,positive
Swiggy,very late . very bad 😞 😔,2,2025-10-05 17:24:38,Abhi Sunny,0,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",late bad disappointed face pensive face,24,6,-0.7828,negative,-0.6499999999999999,negative
Swiggy,good service,5,2025-10-05 17:24:25,amitava chakraborty,0,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good service,12,2,0.4404,positive,0.7,positive
Swiggy,"Not good apps in technically, delivery partner' live location doesn't match, no time delivery",1,2025-10-05 17:22:53,Girish Kumar,0,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,good app technically delivery partner live location match time delivery,93,10,-0.1326,negative,-0.07121212121212121,negative
Swiggy,good,4,2025-10-05 17:21:01,Surendra Kumar Somani Ji,0,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",good,4,1,0.4404,positive,0.7,positive
